
######################################################################
# Sesion de entrenamiento iniciada: 2026-08-18 20:29:14  (run_id=20260818_202914)
######################################################################

Usando dispositivo: cuda
GPU: NVIDIA GeForce RTX 2050
Split 'train': 33495 muestras
Split 'valid': 6305 muestras
Split 'test': 6305 muestras
Distribucion de rutas en train:
 A    11661
D     6101
C     5661
B     5371
E     4701
Name: count, dtype: int64
Esta corrida guardara sus checkpoints como:
  C:\Users\lucyc\Documentos\Tesis\Training\dataset_3\checkpoints\posenet_best_20260818_202914.pth
  C:\Users\lucyc\Documentos\Tesis\Training\dataset_3\checkpoints\posenet_last_20260818_202914.pth

Cargando pesos desde WARM_START_CHECKPOINT: C:\Users\lucyc\Documentos\Tesis\Training\cats_codes\Training_3\checkpoints\cats_tarin_3_best.pth
  Pesos cargados (epoca original: 39, val_loss original: 0.10692247666778969)
  Warm restart: optimizer y scheduler nuevos, lr inicial = 1.00e-05
  (best_val_loss se reinicia -- esta corrida se evalua de nuevo desde cero)
============================================================
Comenzando epoca 1/40  (lr=1.00e-05)
[Train][Epoca 1/40] Batch 0/4187  Loss: 0.084696 (t=0.035499, q=0.004920)  Tiempo: 32.1s
[Train][Epoca 1/40] Batch 20/4187  Loss: 0.086182 (t=0.042574, q=0.004361)  Tiempo: 33.3s
[Train][Epoca 1/40] Batch 40/4187  Loss: 0.107698 (t=0.086532, q=0.002117)  Tiempo: 34.5s
[Train][Epoca 1/40] Batch 60/4187  Loss: 0.069115 (t=0.062271, q=0.000684)  Tiempo: 35.6s
[Train][Epoca 1/40] Batch 80/4187  Loss: 0.046431 (t=0.038679, q=0.000775)  Tiempo: 36.9s
[Train][Epoca 1/40] Batch 100/4187  Loss: 0.047056 (t=0.027280, q=0.001978)  Tiempo: 38.1s
[Train][Epoca 1/40] Batch 120/4187  Loss: 0.066588 (t=0.034759, q=0.003183)  Tiempo: 39.4s
[Train][Epoca 1/40] Batch 140/4187  Loss: 0.122609 (t=0.066895, q=0.005571)  Tiempo: 40.6s
[Train][Epoca 1/40] Batch 160/4187  Loss: 0.068402 (t=0.037476, q=0.003093)  Tiempo: 41.8s
[Train][Epoca 1/40] Batch 180/4187  Loss: 0.068369 (t=0.028705, q=0.003966)  Tiempo: 43.1s
[Train][Epoca 1/40] Batch 200/4187  Loss: 0.104923 (t=0.065351, q=0.003957)  Tiempo: 44.3s
[Train][Epoca 1/40] Batch 220/4187  Loss: 0.124362 (t=0.052890, q=0.007147)  Tiempo: 45.4s
[Train][Epoca 1/40] Batch 240/4187  Loss: 0.120601 (t=0.076553, q=0.004405)  Tiempo: 46.6s
[Train][Epoca 1/40] Batch 260/4187  Loss: 0.077923 (t=0.051705, q=0.002622)  Tiempo: 47.8s
[Train][Epoca 1/40] Batch 280/4187  Loss: 0.122665 (t=0.079861, q=0.004280)  Tiempo: 49.0s
[Train][Epoca 1/40] Batch 300/4187  Loss: 0.041451 (t=0.023908, q=0.001754)  Tiempo: 50.3s
[Train][Epoca 1/40] Batch 320/4187  Loss: 0.088132 (t=0.056538, q=0.003159)  Tiempo: 51.5s
[Train][Epoca 1/40] Batch 340/4187  Loss: 0.067177 (t=0.046397, q=0.002078)  Tiempo: 52.8s
[Train][Epoca 1/40] Batch 360/4187  Loss: 0.077410 (t=0.053828, q=0.002358)  Tiempo: 54.0s
[Train][Epoca 1/40] Batch 380/4187  Loss: 0.057242 (t=0.026767, q=0.003047)  Tiempo: 55.2s
[Train][Epoca 1/40] Batch 400/4187  Loss: 0.106515 (t=0.080113, q=0.002640)  Tiempo: 56.3s
[Train][Epoca 1/40] Batch 420/4187  Loss: 0.292185 (t=0.040836, q=0.025135)  Tiempo: 57.6s
[Train][Epoca 1/40] Batch 440/4187  Loss: 0.073401 (t=0.046173, q=0.002723)  Tiempo: 58.8s
[Train][Epoca 1/40] Batch 460/4187  Loss: 0.075333 (t=0.052888, q=0.002244)  Tiempo: 60.0s
[Train][Epoca 1/40] Batch 480/4187  Loss: 0.091079 (t=0.054969, q=0.003611)  Tiempo: 61.2s
[Train][Epoca 1/40] Batch 500/4187  Loss: 0.149648 (t=0.044857, q=0.010479)  Tiempo: 62.4s
[Train][Epoca 1/40] Batch 520/4187  Loss: 0.128205 (t=0.069045, q=0.005916)  Tiempo: 63.7s
[Train][Epoca 1/40] Batch 540/4187  Loss: 0.065946 (t=0.046780, q=0.001917)  Tiempo: 64.8s
[Train][Epoca 1/40] Batch 560/4187  Loss: 0.101726 (t=0.075680, q=0.002605)  Tiempo: 66.0s
